Name,Lizenz
@esbuild/linux-arm64,MIT
@rollup/plugin-replace,MIT
globby,MIT
string-width,MIT
normalize-path,MIT
globals,MIT
@rollup/rollup-linux-arm-musleabihf,MIT
@babel/helper-validator-option,MIT
@esbuild/win32-arm64,MIT
package-json-from-dist,BlueOak-1.0.0
has-property-descriptors,MIT
which-builtin-type,MIT
@babel/plugin-transform-destructuring,MIT
@babel/plugin-bugfix-safari-class-field-initializer-scope,MIT
lru-cache,ISC
browserslist,MIT
to-regex-range,MIT
min-indent,MIT
@selderee/plugin-htmlparser2,MIT
@eslint/eslintrc,MIT
es-define-property,MIT
@babel/plugin-transform-parameters,MIT
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,MIT
human-signals,Apache-2.0
is-unicode-supported,MIT
p-limit,MIT
stylelint-order,MIT
@babel/plugin-transform-block-scoped-functions,MIT
which-collection,MIT
htmlparser2,MIT
is-plain-object,MIT
cli-truncate,MIT
balanced-match,MIT
@esbuild/win32-x64,MIT
@eslint-community/eslint-utils,MIT
aws-sign2,Apache-2.0
tunnel-agent,Apache-2.0
text-table,MIT
hasown,MIT
unicode-canonical-property-names-ecmascript,LicenseRef-scancode-unicode AND MIT
@isaacs/cliui,ISC
@humanwhocodes/config-array,Apache-2.0
@babel/plugin-transform-private-property-in-object,MIT
type-fest,MIT OR (CC0-1.0 AND MIT)
yocto-queue,MIT
read-pkg,MIT
jsbn,MIT
picomatch,MIT
is-weakmap,MIT
@babel/helper-create-class-features-plugin,MIT
aggregate-error,MIT
p-map,MIT
ansi-styles,MIT
@codemirror/theme-one-dark,MIT
@esbuild/linux-loong64,MIT
@babel/plugin-transform-modules-systemjs,MIT
lightningcss,MPL-2.0
html-tags,MIT
@babel/generator,MIT
data-view-buffer,MIT
ospath,MIT
getpass,MIT
rollup-plugin-vue,MIT
@esbuild/darwin-arm64,MIT
@babel/plugin-transform-for-of,MIT
mailparser,MIT AND MIT-0
path-type,MIT
postcss-resolve-nested-selector,MIT
sshpk,MIT
pgpass,MIT
nodemailer,MIT-0
@babel/plugin-transform-nullish-coalescing-operator,MIT
prelude-ls,MIT
@jridgewell/sourcemap-codec,MIT
@codemirror/lang-json,MIT
lightningcss-win32-x64-msvc,MPL-2.0
minipass,ISC
is-finalizationregistry,MIT
strip-ansi,MIT
rollup-pluginutils,MIT
@webcomponents/webcomponentsjs,BSD-3-Clause
p-locate,MIT
known-css-properties,MIT
graphemer,MIT
minimatch,ISC
unicode-match-property-value-ecmascript,LicenseRef-scancode-unicode AND MIT
tldts-core,MIT
run-parallel,MIT
fsevents,MIT
boolbase,ISC
postgres-array,MIT
libmime,MIT
@floating-ui/core,MIT
object.assign,MIT
pg,MIT
sebastian/code-unit-reverse-lookup,BSD-3-Clause
joomla/console,Unbekannt
joomla/crypt,Unbekannt
wamania/php-stemmer,Unbekannt
react/promise,Unbekannt
react/child-process,Unbekannt
composer/ca-bundle,Unbekannt
phpunit/php-file-iterator,BSD-3-Clause
sebastian/environment,BSD-3-Clause
composer/xdebug-handler,MIT
composer/semver,MIT
symfony/string,Unbekannt
